Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
BlGeometryAnchorListener,I am an event listener that listens Anchor Moved event send by Anchor,I am an event listener that listens Anchor Moved event send by Anchor,I am an event listener that listens Anchor Moved event send by Anchor,I am an event listener that listens Anchor Moved event send by Anchor,,,,,,,,,,,,,,,,,,,,
PRShowClassTransformer,"I am a transformer for the showClass annotation.

I know how to visit a showClass annotation and the way to transform it.

I create a PRCodeblock with the class definition within it.",I am a transformer for the showClass annotation.,I know how to visit a showClass annotation and the way to transform it.,I create a PRCodeblock with the class definition within it.,,,,,,PRCodeblock,,,,,,,,,,,,,,
BrTextEditorSelectionUpdateCommand,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,,I do the hard job of visually updating selection by requesting segment holders to partially update themselves,,,,,,,,,,,,,,,,,,,
WAProtectionFilter,"The protection filter ensures that the wrapped request handler only accepts requests from the same IP. Do add this filter to a WASession for example to avoid session hijacking, do not add it to static request handlers such as WAApplication or WADispatcher as this might restrict access to the handler if your IP changes.

Note that checking for IP addresses is not bullet proof and should never be used as the sole security measure for a web application as IP addresses can be easily spoofed.",,"""The protection filter ensures that the wrapped request handler only accepts requests from the same IP. Do add this filter to a WASession for example to avoid session hijacking, do not add it to static request handlers such as WAApplication or WADispatcher as this might restrict access to the handler if your IP changes.",,,,,,,,,,,,"Note that checking for IP addresses is not bullet proof and should never be used as the sole security measure for a web application as IP addresses can be easily spoofed.""",,,,"Do add this filter to a WASession for example to avoid session hijacking, do not add it to static request handlers such as WAApplication or WADispatcher as this might restrict access to the handler if your IP changes.",,,,,
WADatalistTag,"datalist together with the a new list attribute for input is used to make comboboxes:

<input list=browsers>
<datalist id=browsers>
 <option value=""Safari"">
 <option value=""Internet Explorer"">
 <option value=""Opera"">
 <option value=""Firefox"">
</datalist>",,datalist together with the a new list attribute for input is used to make comboboxes:,,,,,,,,"<input list=browsers>
<datalist id=browsers>
 <option value=""Safari"">
 <option value=""Internet Explorer"">
 <option value=""Opera"">
 <option value=""Firefox"">
</datalist>",,,,,,,,,,,,,
BlHandlerRegistry,"I am an event handler registry used by dispatchers in order to manage event handlers.

Example:
[[[
| registry |
""one can use announcer based registry""
registry := BlHandlerAnnouncerRegistry new.
""or registry based on plain array""
registry := BlHandlerArrayRegistry new.
registry add: (BlEventHandler on: BlClickEvent do: [ self inform: 'Click' ] ).
registry add: (BlEventHandler on: BlMouseDownEvent do: [ self inform: 'Mouse down' ] ).
registry add: (BlEventHandler on: BlMouseUpEvent do: [ self inform: 'Mouse up' ] ).
registry dispatchEvent: BlClickEvent new.
registry dispatchEvent: BlMouseDownEvent new.
registry dispatchEvent: BlMouseUpEvent new.
]]]","""I am an event handler registry used by dispatchers in order to manage event handlers.","""I am an event handler registry used by dispatchers in order to manage event handlers.",,,,,,,,"Example:
[[[
| registry |
""""one can use announcer based registry""""
registry := BlHandlerAnnouncerRegistry new.
""""or registry based on plain array""""
registry := BlHandlerArrayRegistry new.
registry add: (BlEventHandler on: BlClickEvent do: [ self inform: 'Click' ] ).
registry add: (BlEventHandler on: BlMouseDownEvent do: [ self inform: 'Mouse down' ] ).
registry add: (BlEventHandler on: BlMouseUpEvent do: [ self inform: 'Mouse up' ] ).
registry dispatchEvent: BlClickEvent new.
registry dispatchEvent: BlMouseDownEvent new.
registry dispatchEvent: BlMouseUpEvent new.
]]]""",,,,,,,,,,,,,
BlMeasurementUnspecifiedMode,"I represent a concrete implementation of ""unspecified"" measurement mode.
For more information see class comment of BlMeasurementMode","I represent a concrete implementation of ""unspecified"" measurement mode.",,,,,,For more information see class comment of BlMeasurementMode,,BlMeasurementMode,,,,,,,,,,,,,,
BlInfiniteItemAnimationsFinished,"I am sent when all pending or running animations in an ItemAnimator are finished.
I can be used, for example, to delay an action in a data set until currently-running animations are complete.",,"I can be used, for example, to delay an action in a data set until currently-running animations are complete.",,,,,,,,,,,,,,,,,,I am sent when all pending or running animations in an ItemAnimator are finished.,,,
PRParameter,"I represent a key and value pair. 
My key is instance of PRParameterKey and its associated vaue is an instance of PRParameterValue.","""I represent a key and value pair.",,"My key is instance of PRParameterKey and its associated vaue is an instance of PRParameterValue.
""",,,,,,"PRParameterKey
 PRParameterValue",,,,,,,,,,,,,,
WARequestContextNotFound,This exception is raised when trying to obtain the current request context when none is available.,,,,,,,,,,,,,,,,,,,,This exception is raised when trying to obtain the current request context when none is available.,,,
WARubyFunctionalTest,"Examples taken directly from spec:
http://www.w3.org/TR/2001/REC-ruby-20010531/",,,,,,,,,,,,,"Examples taken directly from spec:
http://www.w3.org/TR/2001/REC-ruby-20010531/",,,"Examples taken directly from spec:
http://www.w3.org/TR/2001/REC-ruby-20010531/",,,,,,,
PRObject,"I am a superclass of most objects within Pier. I hold a dictionary of properties, so that users can easily annotate me with new values. I am visitable.",I am a superclass of most objects within Pier.,"I hold a dictionary of properties, so that users can easily annotate me with new values. I am visitable.",,,,,,,,,,,,,,,,,,,,,
WALabelledFormDialog,"WALabelledFormDialog is an abstract class for generating html forms. Given a data model WALabelledFormDialog displays a label and input field for each instance variable of interest. User supplied data is placed in the data model.

Subclasses need to implment the methods labelForSelector:, model, and rows. The ""model"" method just returns the object whose fields we wish to populate with date. The ""rows"" method returns a collections of symbols. One symbol for each row of data in the dialog. The symbol is used generate the accessor methods for the data in the model. The method ""labelForSelector:"" returns the labels for each row and each submit button in the form.

A standard text input field is used for each row of data. To use other html widgets for input for = a datum implement the method renderXXXOn: where XXX is the symbol for the row. See ""renderNameOn:"" in example below.

The default form has one button ""Ok"". Override the ""buttons"" method to change the text or number of submit buttons on the form. Override the ""defaultButton"" method to indicate which button is the default. For each button in the form the subclass needs a method with the same name as the button, which is called when the user clicks that button. See example below.

LabelledFormDialogExample subclass of WALabelledFormDialog instance methods
 initialize
 super initialize.
 contact := Contact new. ""contact is an inst var""
 self addMessage: 'Please enter the followning information'.

 model
 ^ contact

 ok
 self answer: contact

 cancel
 self answer

 rows
 ^ #(name phoneNumber)

 buttons
 #(ok cancel)

 labelForSelector: aSymbol
 aSymbol == #name ifTrue: [^'Your Name'].
 aSymbol == #phoneNumber ifTrue: [^'Phone Number'].
 aSymbol == #ok ifTrue: [^'Ok'].
 aSymbol == #cancel ifTrue: [^'Cancel'].
 ^ super labelForSelector: aSymbol

 renderNameOn: html 
 ""Show how to specily special input instead of using simple text field.""
 (html select)
 list: #('Roger' 'Pete');
 selected: 'Roger';
 callback: [:v | contact name: v]

Contact Class used above has instance variables name, phoneNumber with standard getter and setter methods",WALabelledFormDialog is an abstract class for generating html forms.,"Given a data model WALabelledFormDialog displays a label and input field for each instance variable of interest. User supplied data is placed in the data model.

A standard text input field is used for each row of data. To use other html widgets for input for = a datum implement the method renderXXXOn: where XXX is the symbol for the row. See ""renderNameOn:"" in example below.",,"Contact Class used above has instance variables name, phoneNumber with standard getter and setter methods.
 model
 ^ contact

 ok
 self answer: contact

 cancel
 self answer

 rows
 ^ #(name phoneNumber)

 buttons
 #(ok cancel)
 labelForSelector: aSymbol
 aSymbol == #name ifTrue: [^'Your Name'].
 aSymbol == #phoneNumber ifTrue: [^'Phone Number'].
 aSymbol == #ok ifTrue: [^'Ok'].
 aSymbol == #cancel ifTrue: [^'Cancel'].
 ^ super labelForSelector: aSymbol","The default form has one button ""Ok"". Override the ""buttons"" method to change the text or number of submit buttons on the form. Override the ""defaultButton"" method to indicate which button is the default. For each button in the form the subclass needs a method with the same name as the button, which is called when the user clicks that button. See example below.","Contact Class used above has instance variables name, phoneNumber with standard getter and setter methods
 contact := Contact new. ""contact is an inst var""",,"Subclasses need to implment the methods labelForSelector:, model, and rows. The ""model"" method just returns the object whose fields we wish to populate with date. The ""rows"" method returns a collections of symbols. One symbol for each row of data in the dialog. The symbol is used generate the accessor methods for the data in the model. The method ""labelForSelector:"" returns the labels for each row and each submit button in the form.",,"LabelledFormDialogExample subclass of WALabelledFormDialog instance methods
 initialize
 super initialize.
 contact := Contact new. ""contact is an inst var""
 self addMessage: 'Please enter the followning information'.

 model
 ^ contact

 ok
 self answer: contact

 cancel
 self answer

 rows
 ^ #(name phoneNumber)

 buttons
 #(ok cancel)

 labelForSelector: aSymbol
 aSymbol == #name ifTrue: [^'Your Name'].
 aSymbol == #phoneNumber ifTrue: [^'Phone Number'].
 aSymbol == #ok ifTrue: [^'Ok'].
 aSymbol == #cancel ifTrue: [^'Cancel'].
 ^ super labelForSelector: aSymbol

 renderNameOn: html 
 ""Show how to specily special input instead of using simple text field.""
 (html select)
 list: #('Roger' 'Pete');
 selected: 'Roger';
 callback: [:v | contact name: v]",,,,,,,,,,,,,
